country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United Kingdom,52400000,52700000,53100000,53500000,53900000,54200000,54600000,54900000,55100000,55400000,55600000,55700000,55900000,56000000,56100000,56200000,56200000,56200000,56200000,56200000,56200000,56200000,56200000,56300000,56300000,56400000,56500000,56700000,56800000,57000000,57100000,57300000,57400000,57600000,57800000,57900000,58100000,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60300000,60800000,61500000,62100000,62800000,63500000,64000000,64500000,65000000,65400000,65900000
Georgia,4010000,4080000,4150000,4220000,4300000,4370000,4450000,4520000,4590000,4660000,4710000,4760000,4790000,4820000,4850000,4870000,4900000,4930000,4960000,4990000,5020000,5050000,5090000,5120000,5160000,5210000,5270000,5330000,5380000,5410000,5410000,5370000,5300000,5210000,5100000,4980000,4850000,4710000,4580000,4460000,4360000,4300000,4260000,4240000,4230000,4210000,4190000,4170000,4139999,4120000,4099999,4080000,4059999,4050000,4040000,4019999
Ghana,6640000,6850000,7070000,7300000,7520000,7740000,7940000,8130000,8320000,8520000,8740000,8970000,9230000,9490000,9750000,9990000,10200000,10400000,10600000,10800000,11100000,11300000,11700000,12000000,12400000,12800000,13200000,13600000,13900000,14400000,14800000,15200000,15700000,16100000,16600000,17000000,17500000,17900000,18400000,18800000,19300000,19800000,20200000,20800000,21300000,21800000,22400000,23000000,23600000,24200000,24800000,25400000,26000000,26600000,27200000,27800000
Guinea,3490000,3550000,3610000,3670000,3740000,3800000,3870000,3940000,4010000,4080000,4150000,4220000,4290000,4360000,4420000,4490000,4560000,4630000,4700000,4780000,4870000,4970000,5080000,5200000,5330000,5470000,5630000,5800000,5980000,6170000,6350000,6530000,6720000,6900000,7080000,7270000,7460000,7660000,7860000,8050000,8240000,8420000,8590000,8750000,8930000,9110000,9310000,9520000,9740000,9960000,10200000,10400000,10700000,10900000,11200000,11400000
Gambia,365000,372000,380000,388000,396000,405000,415000,427000,439000,451000,464000,478000,492000,507000,523000,540000,558000,577000,597000,617000,637000,658000,678000,700000,726000,756000,791000,831000,873000,916000,956000,993000,1030000,1060000,1090000,1130000,1160000,1200000,1240000,1280000,1320000,1360000,1400000,1450000,1500000,1540000,1590000,1640000,1690000,1740000,1790000,1850000,1910000,1960000,2020000,2089999
Guinea-Bissau,616000,623000,629000,635000,642000,650000,659000,669000,680000,692000,705000,718000,733000,746000,758000,766000,770000,772000,772000,775000,782000,794000,810000,830000,851000,872000,893000,913000,933000,954000,975000,998000,1020000,1040000,1070000,1090000,1110000,1130000,1150000,1180000,1200000,1230000,1250000,1280000,1310000,1340000,1380000,1410000,1450000,1480000,1520000,1560000,1600000,1650000,1690000,1740000
Equatorial Guinea,255000,259000,262000,266000,271000,276000,284000,292000,299000,304000,304000,299000,290000,278000,266000,256000,248000,242000,240000,242000,250000,264000,285000,308000,332000,352000,369000,383000,395000,407000,419000,433000,447000,463000,479000,497000,516000,536000,558000,582000,606000,632000,658000,687000,717000,750000,784000,822000,861000,902000,944000,987000,1030000,1080000,1120000,1170000
Greece,8270000,8310000,8350000,8390000,8420000,8450000,8490000,8530000,8570000,8610000,8660000,8720000,8770000,8840000,8920000,9010000,9130000,9250000,9390000,9520000,9630000,9720000,9800000,9860000,9920000,9970000,10000000,10100000,10100000,10200000,10200000,10300000,10400000,10500000,10600000,10700000,10800000,10900000,11000000,11000000,11100000,11100000,11200000,11200000,11200000,11200000,11200000,11100000,11000000,11000000,10900000,10800000,10800000,10700000,10700000,10700000
Grenada,89900,91300,92500,93400,94100,94600,94900,95000,94900,94700,94500,94200,94000,93700,93200,92500,91500,90200,89100,88600,89000,90600,93100,96000,98500,100000,100000,99400,98100,96900,96300,96500,97200,98200,99300,100000,101000,102000,102000,102000,103000,103000,104000,104000,104000,105000,105000,105000,105000,106000,106000,107000,107000,108000,109000,110000
Guatemala,4210000,4340000,4460000,4600000,4730000,4870000,5010000,5160000,5310000,5470000,5620000,5780000,5940000,6100000,6270000,6430000,6600000,6770000,6930000,7110000,7280000,7470000,7650000,7850000,8039999,8240000,8440000,8640000,8840000,9050000,9260000,9480000,9710000,9940000,10200000,10400000,10600000,10900000,11100000,11400000,11700000,11900000,12200000,12500000,12800000,13100000,13400000,13700000,14000000,14300000,14600000,14900000,15300000,15600000,15900000,16300000
Guyana,572000,589000,606000,623000,638000,652000,665000,676000,686000,696000,705000,714000,722000,730000,738000,746000,754000,762000,770000,776000,780000,782000,781000,779000,775000,770000,764000,757000,751000,746000,743000,744000,749000,754000,759000,761000,761000,758000,754000,750000,747000,745000,745000,745000,746000,746000,746000,746000,747000,748000,749000,752000,755000,759000,763000,767000
"Hong Kong, China",3050000,3140000,3230000,3310000,3390000,3470000,3550000,3620000,3700000,3780000,3850000,3910000,3970000,4040000,4110000,4210000,4330000,4460000,4610000,4750000,4870000,4970000,5060000,5130000,5210000,5290000,5370000,5460000,5560000,5650000,5730000,5800000,5860000,5930000,6000000,6080000,6190000,6300000,6420000,6520000,6610000,6660000,6700000,6720000,6740000,6770000,6800000,6840000,6880000,6920000,6970000,7010000,7050000,7090000,7130000,7190000
Honduras,2040000,2100000,2160000,2220000,2280000,2350000,2410000,2490000,2560000,2640000,2720000,2800000,2880000,2970000,3060000,3150000,3250000,3350000,3460000,3570000,3680000,3790000,3910000,4030000,4150000,4280000,4410000,4540000,4680000,4810000,4960000,5100000,5240000,5390000,5550000,5710000,5870000,6050000,6220000,6400000,6570000,6750000,6930000,7110000,7280000,7460000,7630000,7810000,7980000,8150000,8320000,8480000,8640000,8800000,8960000,9110000
Holy See,904,904,901,898,877,853,814,766,711,670,649,645,661,685,708,724,730,730,725,722,725,723,725,730,733,740,747,751,754,759,762,762,773,780,777,778,784,787,786,788,790,792,792,792,795,798,795,794,792,787,783,786,786,786,785,790
Croatia,4190000,4220000,4250000,4280000,4300000,4330000,4350000,4370000,4390000,4410000,4420000,4440000,4450000,4470000,4480000,4500000,4520000,4540000,4560000,4580000,4600000,4620000,4650000,4670000,4690000,4720000,4740000,4760000,4770000,4780000,4780000,4760000,4730000,4700000,4660000,4620000,4570000,4530000,4490000,4460000,4430000,4410000,4400000,4390000,4380000,4380000,4370000,4360000,4350000,4340000,4330000,4310000,4300000,4280000,4260000,4230000
Haiti,3870000,3940000,4019999,4099999,4179999,4260000,4340000,4430000,4510000,4590000,4680000,4760000,4840000,4920000,5000000,5090000,5190000,5290000,5400000,5520000,5640000,5770000,5910000,6050000,6190000,6340000,6480000,6620000,6760000,6900000,7040000,7180000,7320000,7460000,7600000,7740000,7890000,8029999,8170000,8320000,8460000,8610000,8750000,8900000,9050000,9200000,9340000,9500000,9650000,9800000,9950000,10100000,10300000,10400000,10500000,10700000
Hungary,10000000,10000000,10100000,10100000,10100000,10200000,10200000,10200000,10300000,10300000,10400000,10400000,10400000,10500000,10500000,10500000,10600000,10600000,10700000,10700000,10800000,10700000,10700000,10700000,10600000,10600000,10500000,10500000,10400000,10400000,10400000,10400000,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10200000,10100000,10100000,10100000,10100000,10000000,9990000,9960000,9930000,9900000,9860000,9830000,9800000,9780000
Indonesia,87800000,90100000,92500000,95000000,97600000,100000000,103000000,106000000,109000000,112000000,115000000,118000000,121000000,124000000,127000000,131000000,134000000,137000000,141000000,144000000,147000000,151000000,154000000,158000000,162000000,165000000,168000000,172000000,175000000,178000000,181000000,185000000,188000000,191000000,194000000,197000000,200000000,203000000,206000000,209000000,212000000,214000000,217000000,220000000,223000000,226000000,229000000,232000000,235000000,239000000,242000000,245000000,248000000,252000000,255000000,258000000
India,451000000,460000000,469000000,479000000,489000000,499000000,510000000,520000000,532000000,543000000,555000000,568000000,581000000,595000000,609000000,623000000,638000000,652000000,667000000,683000000,699000000,715000000,732000000,749000000,767000000,784000000,802000000,820000000,837000000,855000000,873000000,891000000,909000000,927000000,946000000,964000000,982000000,1B,1.02B,1.04B,1.06B,1.08B,1.09B,1.11B,1.13B,1.15B,1.17B,1.18B,1.2B,1.22B,1.23B,1.25B,1.27B,1.28B,1.3B,1.31B
Ireland,2790000,2790000,2790000,2800000,2810000,2820000,2830000,2850000,2860000,2880000,2910000,2940000,2990000,3030000,3090000,3140000,3190000,3240000,3290000,3340000,3380000,3420000,3450000,3480000,3500000,3510000,3520000,3520000,3510000,3510000,3510000,3520000,3530000,3550000,3570000,3590000,3620000,3650000,3690000,3730000,3780000,3840000,3910000,3980000,4059999,4139999,4230000,4320000,4420000,4490000,4550000,4590000,4610000,4620000,4630000,4650000
Iran,21900000,22500000,23100000,23700000,24300000,25000000,25600000,26300000,27000000,27800000,28500000,29300000,30100000,30900000,31800000,32700000,33700000,34800000,36000000,37200000,38700000,40200000,41900000,43600000,45500000,47300000,49300000,51200000,53100000,54800000,56400000,57700000,58800000,59700000,60600000,61400000,62300000,63100000,64000000,64800000,65599999,66400000,67300000,68100000,69000000,69800000,70600000,71300000,72100000,72900000,73800000,74600000,75500000,76500000,77500000,78500000
Iraq,7290000,7480000,7670000,7890000,8119999,8380000,8650000,8950000,9260000,9590000,9920000,10300000,10600000,11000000,11300000,11700000,12100000,12500000,12900000,13300000,13700000,14000000,14400000,14800000,15200000,15600000,15900000,16300000,16600000,17000000,17400000,17900000,18400000,19000000,19500000,20100000,20800000,21400000,22100000,22800000,23500000,24200000,24900000,25600000,26300000,26900000,27400000,27900000,28400000,29000000,29700000,30700000,31900000,33200000,34400000,35600000
Iceland,176000,179000,183000,186000,189000,192000,195000,197000,200000,202000,204000,207000,210000,213000,216000,218000,220000,222000,224000,226000,228000,231000,233000,236000,239000,242000,244000,247000,250000,252000,255000,258000,260000,263000,265000,268000,270000,273000,275000,278000,280000,283000,285000,288000,291000,295000,300000,305000,311000,316000,320000,323000,326000,327000,329000,330000
Israel,2060000,2140000,2230000,2330000,2410000,2490000,2560000,2620000,2680000,2740000,2810000,2900000,3000000,3100000,3200000,3300000,3390000,3470000,3550000,3630000,3700000,3770000,3840000,3900000,3970000,4040000,4099999,4170000,4240000,4330000,4450000,4590000,4750000,4930000,5110000,5270000,5420000,5570000,5700000,5820000,5950000,6060000,6170000,6280000,6400000,6530000,6680000,6850000,7020000,7190000,7350000,7490000,7610000,7730000,7850000,7980000
Italy,49700000,50100000,50400000,50900000,51300000,51700000,52100000,52400000,52800000,53200000,53500000,53900000,54300000,54600000,55000000,55300000,55500000,55800000,56000000,56200000,56300000,56500000,56600000,56800000,56900000,56900000,57000000,57000000,57000000,57000000,57000000,57100000,57100000,57200000,57200000,57200000,57100000,56900000,56700000,56700000,56700000,56900000,57200000,57600000,57900000,58300000,58500000,58700000,58900000,59100000,59300000,59600000,59900000,60200000,60400000,60600000
Jamaica,1630000,1650000,1680000,1700000,1730000,1760000,1780000,1800000,1830000,1850000,1880000,1900000,1940000,1970000,2000000,2029999,2060000,2080000,2110000,2130000,2160000,2200000,2230000,2270000,2310000,2340000,2360000,2380000,2390000,2400000,2420000,2440000,2460000,2480000,2510000,2530000,2560000,2580000,2610000,2630000,2650000,2670000,2690000,2710000,2730000,2740000,2750000,2770000,2780000,2800000,2810000,2830000,2840000,2860000,2880000,2890000
Jordan,933000,974000,1010000,1050000,1100000,1170000,1270000,1380000,1500000,1620000,1720000,1810000,1880000,1950000,2009999,2069999,2120000,2180000,2240000,2300000,2380000,2460000,2560000,2670000,2780000,2900000,3020000,3130000,3260000,3400000,3570000,3760000,3980000,4200000,4410000,4590000,4730000,4850000,4940000,5030000,5120000,5220000,5320000,5430000,5580000,5770000,5990000,6260000,6560000,6890000,7260000,7660000,8090000,8520000,8920000,9270000
Japan,93700000,94600000,95500000,96400000,97400000,98400000,99600000,101000000,102000000,103000000,105000000,106000000,108000000,110000000,111000000,112000000,114000000,115000000,116000000,117000000,118000000,119000000,120000000,120000000,121000000,122000000,123000000,123000000,124000000,124000000,125000000,125000000,125000000,126000000,126000000,126000000,127000000,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,129000000,129000000,129000000,128000000,128000000,128000000,128000000,128000000
Kazakhstan,9930000,10300000,10800000,11100000,11500000,11800000,12100000,12400000,12600000,12800000,13000000,13300000,13500000,13700000,13900000,14100000,14200000,14400000,14500000,14600000,14800000,15000000,15100000,15300000,15500000,15700000,15900000,16000000,16200000,16300000,16399999,16399999,16300000,16200000,16000000,15800000,15600000,15400000,15200000,15000000,14900000,14900000,15000000,15100000,15300000,15400000,15600000,15700000,15900000,16000000,16300000,16500000,16800000,17000000,17300000,17600000
Kenya,8119999,8380000,8650000,8930000,9220000,9530000,9850000,10200000,10500000,10900000,11300000,11700000,12100000,12600000,13100000,13600000,14100000,14600000,15200000,15800000,16399999,17100000,17700000,18400000,19100000,19900000,20600000,21400000,22200000,22900000,23700000,24500000,25300000,26100000,27000000,27800000,28600000,29400000,30300000,31100000,32000000,32799999,33800000,34700000,35600000,36600000,37600000,38700000,39800000,40900000,42000000,43200000,44300000,45500000,46700000,47900000
Kyrgyz Republic,2170000,2240000,2320000,2400000,2490000,2570000,2650000,2740000,2820000,2900000,2970000,3040000,3110000,3170000,3230000,3290000,3350000,3410000,3480000,3540000,3610000,3680000,3760000,3830000,3910000,3990000,4080000,4160000,4240000,4310000,4370000,4420000,4450000,4480000,4520000,4570000,4630000,4710000,4790000,4860000,4920000,4960000,4990000,5010000,5040000,5080000,5120000,5180000,5250000,5330000,5420000,5520000,5620000,5730000,5840000,5960000
Cambodia,5720000,5870000,6030000,6180000,6330000,6470000,6590000,6690000,6780000,6880000,7000000,7140000,7300000,7450000,7530000,7520000,7400000,7200000,6960000,6770000,6690000,6750000,6920000,7170000,7450000,7710000,7960000,8199999,8440000,8690000,8980000,9290000,9620000,9970000,10300000,10700000,11000000,11300000,11600000,11900000,12200000,12400000,12600000,12900000,13100000,13300000,13500000,13700000,13900000,14100000,14300000,14500000,14800000,15000000,15300000,15500000
Kiribati,41200,42200,43300,44300,45400,46400,47400,48400,49400,50300,51100,52000,52800,53600,54300,55100,55900,56800,57600,58500,59300,60100,60900,61700,62700,64000,65500,67200,69100,70800,72400,73700,74800,75700,76700,77700,78900,80200,81600,83000,84400,85800,87300,88800,90500,92300,94300,96500,98800,101000,103000,105000,106000,108000,109000,111000
St. Kitts and Nevis,51200,51200,51000,50500,49900,49200,48400,47400,46400,45500,44900,44500,44300,44300,44300,44300,44100,43900,43700,43500,43200,43000,42700,42500,42200,41900,41500,41000,40600,40400,40300,40400,40700,41100,41600,42100,42500,42900,43200,43600,44100,44600,45200,45700,46300,46900,47300,47800,48200,48600,49000,49400,49900,50300,50800,51200
South Korea,25300000,26100000,26800000,27500000,28200000,28900000,29600000,30200000,30900000,31500000,32200000,32900000,33500000,34200000,34800000,35400000,35900000,36500000,37000000,37500000,38000000,38600000,39200000,39700000,40300000,40800000,41300000,41700000,42100000,42500000,42900000,43400000,43800000,44300000,44800000,45300000,45800000,46200000,46600000,47000000,47400000,47700000,48000000,48300000,48500000,48700000,48900000,49000000,49200000,49300000,49500000,49800000,50100000,50300000,50600000,50800000
Kuwait,269000,301000,337000,379000,424000,472000,523000,577000,633000,689000,744000,799000,852000,906000,962000,1020000,1090000,1150000,1220000,1300000,1370000,1440000,1510000,1580000,1650000,1740000,1830000,1940000,2029999,2089999,2100000,2029999,1910000,1770000,1660000,1610000,1630000,1710000,1830000,1950000,2049999,2100000,2140000,2160000,2200000,2270000,2370000,2500000,2660000,2820000,2990000,3170000,3350000,3530000,3690000,3840000
Lao,2120000,2170000,2220000,2270000,2330000,2380000,2440000,2500000,2560000,2620000,2690000,2760000,2840000,2920000,2990000,3050000,3100000,3140000,3170000,3210000,3260000,3320000,3400000,3490000,3590000,3690000,3790000,3910000,4019999,4139999,4260000,4380000,4500000,4620000,4740000,4850000,4950000,5050000,5140000,5240000,5320000,5410000,5490000,5580000,5660000,5750000,5850000,5940000,6050000,6150000,6250000,6350000,6440000,6540000,6640000,6740000
Lebanon,1800000,1860000,1930000,1980000,2040000,2089999,2140000,2170000,2210000,2250000,2300000,2350000,2420000,2480000,2540000,2580000,2600000,2600000,2600000,2590000,2590000,2590000,2610000,2620000,2640000,2650000,2660000,2670000,2680000,2730000,2800000,2920000,3080000,3250000,3400000,3530000,3610000,3660000,3690000,3750000,3840000,3990000,4179999,4390000,4570000,4700000,4760000,4770000,4760000,4810000,4950000,5200000,5540000,5910000,6260000,6530000
Liberia,1120000,1140000,1170000,1190000,1220000,1250000,1270000,1300000,1330000,1370000,1400000,1440000,1470000,1510000,1560000,1600000,1650000,1690000,1740000,1790000,1850000,1920000,1990000,2060000,2110000,2150000,2160000,2150000,2130000,2110000,2080000,2040000,2000000,1980000,1990000,2040000,2160000,2330000,2520000,2700000,2850000,2950000,3020000,3080000,3140000,3220000,3330000,3460000,3610000,3750000,3890000,4019999,4139999,4250000,4360000,4470000
Libya,1450000,1500000,1550000,1610000,1670000,1730000,1800000,1880000,1960000,2040000,2130000,2230000,2330000,2430000,2540000,2650000,2750000,2870000,2980000,3100000,3220000,3350000,3480000,3610000,3750000,3870000,3990000,4110000,4220000,4330000,4440000,4540000,4650000,4760000,4850000,4950000,5040000,5120000,5200000,5280000,5360000,5440000,5530000,5620000,5710000,5800000,5890000,5970000,6060000,6130000,6200000,6250000,6290000,6320000,6360000,6420000
St. Lucia,89700,90700,91900,93200,94600,96100,97700,99400,101000,103000,104000,105000,106000,107000,108000,110000,111000,113000,114000,116000,118000,119000,121000,123000,124000,126000,128000,131000,133000,136000,138000,140000,142000,143000,145000,147000,149000,151000,153000,155000,157000,158000,159000,161000,162000,163000,165000,168000,170000,172000,174000,176000,177000,178000,178000,179000
Liechtenstein,16500,16900,17300,17700,18200,18600,19200,19700,20200,20800,21300,21700,22200,22600,23000,23400,23900,24500,25000,25500,25900,26200,26500,26800,27000,27300,27600,27800,28100,28400,28800,29200,29600,30000,30400,30900,31400,31800,32299,32800,33200,33500,33900,34200,34400,34700,35000,35200,35500,35700,36000,36300,36600,36900,37200,37500
Sri Lanka,9870000,10100000,10400000,10600000,10800000,11100000,11400000,11700000,11900000,12200000,12500000,12700000,13000000,13300000,13500000,13800000,14000000,14300000,14500000,14800000,15000000,15300000,15500000,15700000,15900000,16200000,16399999,16600000,16900000,17100000,17300000,17500000,17700000,17900000,18100000,18200000,18400000,18500000,18600000,18700000,18800000,18900000,19100000,19200000,19400000,19500000,19700000,19800000,20000000,20100000,20300000,20400000,20500000,20700000,20800000,20900000
Lesotho,837000,853000,869000,886000,904000,922000,942000,962000,984000,1010000,1030000,1050000,1080000,1100000,1130000,1160000,1190000,1230000,1270000,1300000,1340000,1380000,1420000,1450000,1490000,1530000,1560000,1600000,1630000,1670000,1700000,1740000,1780000,1820000,1860000,1900000,1930000,1970000,2000000,2020000,2029999,2040000,2029999,2020000,2009999,2000000,1990000,1990000,1990000,1990000,2000000,2000000,2009999,2029999,2040000,2060000
Lithuania,2770000,2810000,2850000,2890000,2930000,2970000,3000000,3040000,3070000,3100000,3140000,3170000,3200000,3240000,3270000,3300000,3330000,3350000,3380000,3410000,3430000,3460000,3480000,3510000,3530000,3560000,3590000,3630000,3660000,3680000,3700000,3700000,3690000,3670000,3650000,3630000,3600000,3580000,3560000,3530000,3500000,3470000,3440000,3410000,3380000,3340000,3300000,3260000,3210000,3170000,3120000,3080000,3050000,3010000,2970000,2930000
Luxembourg,315000,317000,321000,324000,327000,330000,332000,334000,336000,338000,340000,342000,345000,348000,351000,354000,357000,359000,361000,363000,364000,365000,365000,365000,366000,367000,369000,371000,374000,378000,382000,386000,391000,397000,402000,408000,414000,420000,426000,431000,436000,440000,444000,447000,452000,458000,466000,475000,485000,497000,508000,519000,531000,543000,555000,567000
Latvia,2130000,2160000,2190000,2210000,2240000,2270000,2290000,2310000,2340000,2360000,2380000,2400000,2420000,2440000,2450000,2470000,2480000,2490000,2500000,2510000,2520000,2530000,2540000,2550000,2560000,2580000,2600000,2630000,2650000,2660000,2660000,2650000,2620000,2580000,2540000,2510000,2480000,2450000,2430000,2410000,2380000,2360000,2330000,2310000,2280000,2250000,2230000,2200000,2170000,2140000,2120000,2089999,2069999,2040000,2020000,2000000
Morocco,12300000,12700000,13100000,13500000,13900000,14200000,14600000,15000000,15300000,15700000,16000000,16399999,16700000,17000000,17400000,17800000,18200000,18600000,19100000,19500000,20000000,20500000,21000000,21500000,22000000,22500000,23000000,23400000,23900000,24400000,24800000,25300000,25700000,26200000,26600000,27000000,27400000,27800000,28100000,28500000,28800000,29100000,29500000,29800000,30100000,30500000,30800000,31200000,31500000,31900000,32299999,32799999,33200000,33700000,34200000,34700000
Monaco,22500,22800,23000,23200,23200,23300,23300,23300,23300,23300,23500,23700,24000,24400,24800,25200,25500,25800,26100,26400,26800,27200,27600,28100,28500,28800,29100,29200,29200,29300,29400,29600,29900,30100,30400,30700,31000,31300,31600,31800,32100,32500,32800,33100,33500,33800,34200,34500,34900,35200,35600,36000,36500,36900,37300,37700
Moldova,3000000,3080000,3150000,3210000,3280000,3340000,3390000,3450000,3500000,3550000,3600000,3650000,3700000,3750000,3800000,3840000,3880000,3910000,3940000,3980000,4010000,4050000,4090000,4130000,4179999,4220000,4250000,4290000,4320000,4350000,4370000,4380000,4380000,4370000,4360000,4340000,4320000,4290000,4250000,4230000,4200000,4190000,4179999,4170000,4170000,4160000,4150000,4130000,4110000,4099999,4090000,4080000,4080000,4070000,4070000,4070000
Madagascar,5100000,5220000,5350000,5490000,5630000,5770000,5920000,6070000,6230000,6400000,6580000,6760000,6950000,7140000,7350000,7560000,7770000,8000000,8230000,8470000,8720000,8970000,9230000,9500000,9780000,10100000,10400000,10600000,11000000,11300000,11600000,11900000,12300000,12700000,13100000,13500000,13900000,14300000,14800000,15300000,15800000,16300000,16800000,17300000,17800000,18300000,18900000,19400000,20000000,20600000,21200000,21700000,22300000,23000000,23600000,24200000
Maldives,89900,92300,94900,97500,100000,103000,105000,107000,110000,113000,116000,119000,123000,128000,132000,136000,141000,145000,149000,153000,158000,164000,170000,176000,183000,190000,196000,203000,210000,217000,223000,230000,236000,243000,249000,254000,259000,264000,268000,274000,279000,286000,294000,303000,311000,320000,327000,335000,343000,353000,366000,380000,397000,416000,435000,455000
Mexico,37800000,39000000,40200000,41500000,42800000,44100000,45500000,47000000,48400000,49900000,51500000,53100000,54700000,56300000,58000000,59600000,61200000,62900000,64500000,66099999,67800000,69400000,71100000,72700000,74400000,76000000,77600000,79200000,80800000,82400000,83900000,85500000,87100000,88600000,90200000,91700000,93100000,94600000,96100000,97500000,98900000,100000000,102000000,103000000,105000000,106000000,108000000,109000000,111000000,112000000,114000000,116000000,117000000,119000000,120000000,122000000
Marshall Islands,14700,15100,15500,16100,16700,17300,17800,18400,19000,19600,20400,21300,22300,23400,24500,25600,26500,27500,28400,29400,30600,31900,33300,34900,36600,38300,40200,42200,44100,45800,47300,48400,49200,49800,50200,50500,50500,50500,50400,50400,50800,51400,52400,53500,54500,55300,55800,56000,56200,56300,56400,56500,56700,56900,57200,57400
North Macedonia,1490000,1510000,1530000,1550000,1570000,1590000,1620000,1640000,1670000,1700000,1720000,1740000,1750000,1770000,1780000,1800000,1830000,1850000,1880000,1900000,1920000,1940000,1960000,1970000,1970000,1980000,1990000,1990000,2000000,2000000,2000000,1990000,1990000,1980000,1980000,1980000,1990000,2000000,2009999,2020000,2029999,2040000,2049999,2049999,2060000,2060000,2060000,2069999,2069999,2069999,2069999,2069999,2069999,2080000,2080000,2080000
Mali,5260000,5320000,5380000,5440000,5500000,5570000,5640000,5710000,5780000,5860000,5950000,6040000,6150000,6260000,6370000,6480000,6600000,6710000,6830000,6960000,7090000,7230000,7390000,7550000,7690000,7830000,7950000,8060000,8170000,8300000,8450000,8640000,8850000,9090000,9330000,9590000,9840000,10100000,10400000,10600000,10900000,11300000,11600000,12000000,12400000,12800000,13200000,13700000,14100000,14600000,15000000,15500000,16000000,16399999,16900000,17400000
Malta,313000,314000,317000,319000,321000,322000,323000,322000,322000,321000,321000,320000,320000,321000,321000,322000,324000,325000,327000,329000,331000,334000,337000,340000,343000,346000,349000,353000,356000,359000,362000,365000,368000,371000,374000,377000,380000,384000,387000,391000,394000,396000,399000,401000,403000,405000,406000,408000,409000,412000,414000,418000,422000,426000,430000,434000
Myanmar,21700000,22200000,22700000,23200000,23700000,24300000,24800000,25400000,26000000,26600000,27300000,27900000,28600000,29200000,29900000,30600000,31300000,32000000,32700000,33500000,34200000,35000000,35700000,36500000,37200000,38000000,38700000,39400000,40100000,40700000,41300000,41900000,42400000,42900000,43400000,43900000,44500000,45000000,45600000,46200000,46700000,47200000,47700000,48100000,48600000,48900000,49300000,49600000,49900000,50300000,50600000,51000000,51400000,51900000,52300000,52700000
Montenegro,487000,498000,510000,521000,529000,534000,534000,530000,525000,521000,520000,523000,529000,538000,547000,554000,560000,566000,570000,575000,581000,588000,595000,603000,609000,614000,616000,617000,616000,615000,615000,616000,617000,619000,620000,620000,620000,618000,616000,615000,614000,613000,613000,614000,615000,616000,618000,620000,621000,623000,624000,625000,626000,626000,627000,627000
Mongolia,956000,982000,1010000,1040000,1070000,1110000,1140000,1170000,1210000,1240000,1280000,1320000,1360000,1400000,1440000,1480000,1520000,1560000,1600000,1650000,1690000,1730000,1780000,1820000,1870000,1920000,1980000,2029999,2089999,2140000,2180000,2220000,2240000,2260000,2280000,2300000,2320000,2340000,2360000,2380000,2400000,2420000,2440000,2470000,2500000,2530000,2560000,2590000,2630000,2670000,2720000,2770000,2820000,2880000,2940000,3000000
Mozambique,7180000,7340000,7510000,7680000,7860000,8039999,8230000,8420000,8610000,8820000,9020000,9230000,9450000,9670000,9910000,10200000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12400000,12600000,12800000,12800000,12800000,12800000,12800000,13000000,13300000,13800000,14400000,14900000,15500000,16000000,16399999,16800000,17200000,17700000,18200000,18800000,19300000,19900000,20500000,21100000,21700000,22300000,22900000,23500000,24200000,24900000,25600000,26300000,27000000
Mauritania,850000,876000,902000,929000,957000,986000,1020000,1050000,1080000,1110000,1150000,1180000,1220000,1250000,1290000,1330000,1370000,1410000,1450000,1500000,1540000,1590000,1630000,1680000,1730000,1780000,1830000,1880000,1930000,1980000,2029999,2089999,2140000,2200000,2260000,2310000,2370000,2430000,2500000,2560000,2630000,2700000,2780000,2860000,2940000,3020000,3110000,3200000,3300000,3390000,3490000,3600000,3710000,3820000,3930000,4050000
Mauritius,660000,679000,698000,717000,736000,753000,770000,785000,799000,813000,826000,840000,852000,865000,878000,892000,907000,922000,938000,953000,966000,978000,989000,999000,1010000,1020000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1100000,1110000,1130000,1140000,1150000,1170000,1180000,1190000,1190000,1200000,1210000,1220000,1220000,1230000,1230000,1240000,1240000,1250000,1250000,1250000,1260000,1260000,1260000
Malawi,3660000,3750000,3840000,3930000,4030000,4130000,4240000,4350000,4460000,4580000,4700000,4830000,4960000,5090000,5240000,5380000,5550000,5720000,5900000,6080000,6250000,6410000,6570000,6740000,6960000,7270000,7670000,8140000,8640000,9080000,9400000,9600000,9690000,9710000,9750000,9840000,10000000,10300000,10600000,10900000,11100000,11400000,11700000,12000000,12300000,12600000,13000000,13300000,13700000,14100000,14500000,15000000,15400000,15800000,16300000,16700000
