country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,106.2735594,106.0309084,106.0547813,105.8198732,105.6756828,105.561668,105.4250637,105.721,105.6484701,105.8652218,105.7828425,105.6262552,105.2408233,104.8430705,104.8013756,104.9216014,105.0728557,105.3554449,105.5564527,105.4495919,105.6938027,105.6832634,105.6522109,105.6771926,105.6540198,105.6955182,105.7608403,105.7241556,105.7016601,105.7044268,105.594769,105.1603,104.7668254,104.8583081,104.9397579,105.2619779,105.2481134,105.3270277,105.5215747,105.4958584,105.5590298,105.587273,105.5949913,105.3853996,105.3089218,105.209307,105.1700039,105.0662908,105.1311177,105.0799794,105.0691212,105.0209645,105.0452543,105.1384464,105.0659159,104.8699831,104.8882971,105.0849139,105.4630927,105.5249533,105.762329,106.2265829,106.4574485,106.5240082,106.5444966,106.5631757
Azerbaijan,106.2164007,106.2158285,106.2238104,106.2206218,106.2219366,106.2113817,106.2208037,106.2358374,106.2473239,106.2259791,106.2319243,106.2418005,106.2352751,106.2309232,106.2294688,106.2402611,106.2437264,106.2392488,106.2378011,106.2489331,106.2350263,106.2355816,106.2383918,106.2370899,106.2421805,106.2454484,106.2479418,106.2683981,106.2720524,106.2846337,106.2912093,106.2941572,106.3071714,106.3187063,106.3235954,106.3373566,106.3507881,106.3756102,106.3958257,106.4516441,106.556297,106.7960562,107.2969082,108.0520048,109.1052197,110.1567596,111.2225687,112.2255865,113.3881232,114.4413413,115.4603168,116.3783957,116.8955884,117.0718972,117.0265812,116.9158658,116.9010629,116.897476,116.8276541,116.7683114,116.5663823,116.2788709,115.9195089,115.5245719,115.0357606,114.4426734
Bahamas,103.3665986,103.4263862,103.4641007,103.5251687,103.5116381,103.4964692,103.3168186,103.139995,102.9664789,102.8889842,102.8457662,102.824641,102.8052312,102.7589735,102.7094251,102.6582864,102.5682988,102.4903543,102.3906287,102.2888829,102.1688173,102.0981285,102.1356432,102.1518716,102.1722149,102.1970255,102.2445783,102.4165533,102.5570107,102.6608576,102.7381988,102.7466319,102.7485107,102.7288089,102.6884443,102.64088,102.5649302,102.5908104,102.6628081,102.7059251,102.7644551,102.7828332,102.719512,102.6411923,102.5593626,102.5112968,102.3540564,102.1228467,101.9810072,101.8527028,101.8707733,101.9808883,101.9907246,101.9959433,102.0191443,102.0799718,102.1134337,102.2052828,102.2176629,102.315369,102.4513782,102.5396026,102.6791435,102.8031677,102.9321706,102.9220814
Bahrain,103.4254302,103.4083383,103.3797958,103.3547289,103.328366,103.3176949,103.2831116,103.2422035,103.2088187,103.1815847,103.128795,103.0715868,102.9999546,102.9438485,102.8692387,102.7982805,102.6985976,102.6003908,102.5049421,102.3582797,102.2264237,102.0811475,101.8249932,101.6735926,101.592602,101.5362002,101.5949495,101.7105433,101.8140797,102.093905,102.5603634,102.9611868,103.2954855,103.4815794,103.5388779,103.6565741,103.7191793,103.8451283,104.0285617,104.1110108,104.004455,103.868181,103.7821063,103.7386812,103.795267,103.9650283,104.0353949,104.0397842,103.9373143,103.9177812,103.8794872,103.8445656,103.6941428,103.497418,103.4463535,103.5575859,103.6106502,103.6822862,103.74643,103.7982276,103.8495734,103.9652286,104.0899342,104.227694,104.2956055,104.2238343
Bangladesh,104.9439675,104.9533945,104.9448901,104.9471284,104.9354629,104.9231282,104.9194728,104.9145421,104.8893842,104.8915404,104.88236,104.8961279,104.922455,104.9420234,104.9471052,104.9611893,104.9874492,104.9915269,105.0306553,105.0395254,105.0371532,105.0708136,105.0918699,105.1315048,105.1337355,105.1281525,105.1284322,105.1716903,105.2109824,105.212929,105.1762542,104.8388933,104.6148698,104.6580117,104.6344273,104.7223937,105.0299041,105.2709675,105.2891295,105.103455,105.0503153,104.9763902,104.785552,104.7320322,104.5887663,104.5201416,104.3931641,104.3752118,104.4099961,104.4046564,104.3952764,104.364647,104.3298603,104.2267833,104.0993886,104.0477658,103.9914531,103.9338393,103.8109398,103.682229,103.5960973,103.6543839,104.0240518,104.4009575,104.6789194,104.9738657
Barbados,102.8765849,102.9113833,102.868425,102.8730371,102.8312869,102.7503746,102.7749327,102.8290825,102.8755442,103.0244848,103.1218178,103.186555,103.2165408,103.3001216,103.3365341,103.340068,103.2947246,103.2972239,103.2260495,103.2352139,103.1560152,103.1566482,103.1510575,103.1808515,103.2208196,103.2423438,103.1918948,103.2025302,103.2126628,103.2336937,103.2042245,103.1962188,103.2107335,103.2613761,103.3072268,103.2744171,103.2487871,103.3800406,103.4853675,103.5765317,103.5835944,103.6169336,103.6366997,103.6599055,103.6889463,103.7237624,103.7527942,103.7797524,103.8299774,103.8482061,103.9022223,103.9238267,103.9021155,103.9003035,103.8622161,103.8787061,103.9210221,103.9371547,103.8968886,103.8670214,103.8275203,103.8013524,103.7665974,103.7408463,103.7246438,103.704823
Belarus,106.2164714,106.2350431,106.2673801,106.2881267,106.3273854,106.3476476,106.3767355,106.4228788,106.4663035,106.5172486,106.2597463,105.9351265,106.0396182,106.3435696,105.9644926,105.799227,105.5697238,105.5825613,105.6810188,106.0031906,105.7331122,105.5449702,105.7532626,105.7091139,105.5997621,105.4656753,105.4282264,105.2346185,105.1598607,105.3305545,105.2228011,105.1608528,105.0549394,105.311947,105.4733187,105.541811,105.7133644,105.9326918,106.2447094,106.2027847,106.3964135,106.5849628,106.2846563,106.4191178,106.4804392,106.6606394,106.5249203,106.425086,106.6273731,106.4972495,106.3708117,106.4194698,106.2280464,106.1379644,105.9584102,105.9155283,106.1100291,106.2124655,106.2626645,106.2916014,106.2675496,106.1960487,106.2638504,106.3492499,106.4888893,106.4111132
Belgium,105.8340696,105.858541,106.0600088,105.9539803,105.708896,105.5887829,105.689157,106.0776326,106.0528019,105.9486775,105.9131364,105.9096276,105.9064114,105.8551474,105.7964769,105.8324785,105.7650735,105.9296464,105.8595514,105.8976213,105.8981035,105.8286309,105.7811796,105.828988,105.8280267,105.8159912,105.748035,105.6648194,105.8181887,106.0786686,105.8343809,105.8459696,105.8031164,105.73742,105.6766124,105.7640748,105.9582829,105.809491,105.5809361,105.3497235,105.2222817,105.1689194,105.048125,104.9987752,105.1138718,104.8507139,104.658573,104.6877217,104.7159726,104.5700011,104.6513739,104.6689476,104.8964787,104.951803,105.1446009,105.0713983,104.8235305,104.8303614,104.9919023,104.9257228,104.8277664,104.8123735,104.7538794,104.9506194,105.0571234,104.9962436
Belize,105.0191467,105.0132564,105.0244221,105.0247947,105.0363269,105.0448563,105.0476347,105.0684572,105.075058,105.0908204,105.1055287,105.1243592,105.1293094,105.1449816,105.1745687,105.1946159,105.2179377,105.2519653,105.279388,105.3029514,105.3384565,105.3676865,105.4072593,105.3863254,105.3674261,105.3669224,105.3676115,105.3546223,105.375346,105.3760369,105.3625585,105.3858859,105.3867961,105.3774273,105.3908863,105.3991297,105.3830261,105.3763973,105.3096827,105.2680648,105.2101308,105.1722518,105.1358161,105.1130467,105.0991076,105.0804255,105.057379,105.0418525,105.023759,105.0430074,105.0636237,105.0756188,105.0916792,105.0750107,105.0661226,105.0697673,105.0662243,105.066986,105.0599032,105.0649576,105.064796,105.0727856,105.066873,105.0731171,105.0715097,105.0645712
Benin,104.2668707,104.2667455,104.2594944,104.2605044,104.2572971,104.2465735,104.2455095,104.2489433,104.2431807,104.2413432,104.2257906,104.222818,104.2171013,104.2058848,104.2128264,104.2305114,104.2427836,104.2631049,104.2842146,104.3120964,104.3307884,104.3741616,104.4106914,104.4347783,104.4482967,104.4553222,104.4856729,104.5227105,104.5814387,104.6415164,104.7110624,104.7198578,104.739253,104.7494634,104.7464438,104.7666748,104.7938712,104.8239089,104.8803266,104.9429685,105.0011185,105.0775865,105.0511132,105.0403084,105.0256142,104.9891143,104.974098,104.9248667,104.9074339,104.8837296,104.8512433,104.7630424,104.7265173,104.7231229,104.7646208,104.6749586,104.5385113,104.4856233,104.458204,104.4251869,104.3801461,104.3549539,104.3226825,104.2765762,104.2231538,104.2419615
