country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Spain,,,23.9,24.1,22.8,22.1,22.8,23.2,23.2,22.9,23.5,23.7,25.4,27.6,26.1,25.9,21,18.5,18.2,18.5,18.9,,
Estonia,,,22.3,27.4,,25.2,25.1,26.2,24.9,23,,22.9,28.8,32.1,31,26.7,27.1,23.2,23.8,22.3,21.2,,
Ethiopia,,,,,,,,,,,,,,23,22.8,27.1,25.8,,,16.8,,,
Finland,,,,24.9,23.2,24.3,25.3,26,31.1,30.8,30.5,29.6,30.8,34.4,34.9,34.7,25.9,26.1,26.1,25.8,24.8,,
Fiji,,,,,,,,,16.1,,,,,,,5.69,,,,,,,
France,,,,28.8,28.4,,,29.9,29.3,27.2,27.2,26.6,27,28.7,28.4,27.2,26.8,26.7,26.8,26.5,26.3,,
United Kingdom,,,22.7,21.1,21.9,21.9,23.6,25,23.8,23.5,24.5,25.6,26.5,28.4,31.2,29.5,,22.6,22.9,23.1,21.2,,
Georgia,,,,,,,,,,,,,13.6,,,,,,,,,,
Ghana,,,,,,40.6,,,42.9,38.4,30.2,27.3,26.7,27,,26.3,39.1,19.3,20,,,,
Guinea,,,,,,,,,,,,,4.06,,,8.01,6.83,,8.25,,,,
Gambia,,,,,,,,,,,,,14.8,13.1,14,,,,,,,,
Greece,,,13,14.4,19.2,17.4,16.8,19.1,19.4,20.7,,,,,,,,,,23.5,23,,
Grenada,,,,,,,,9.8,,,,,,,,,,,,,,10.9,
Guatemala,,,,,4.43,5.43,4.13,,4.39,4.47,4.99,6.07,6.33,,5.61,4.92,5.18,5.47,5.56,5.07,5.12,5.09,5.42
Guyana,,,,,,,,,,,,10.3,,9.64,11.3,10.4,9.3,,,,,,
"Hong Kong, China",,,,,,,17.6,19.1,20.2,19,17.3,15.8,14.9,16,17.1,17.3,17.1,18.7,19.3,20.3,21.3,22.2,22
Honduras,,,,,,,,,,,,,,,,,,20.3,,,,,
Hungary,,,18,18.6,20,19.5,20.5,26.1,23.1,22.6,22.8,22.9,22.4,22.1,21.2,20.5,18.5,16.3,23.1,21.2,23.1,,
Indonesia,,,,,,,,,,,,9.49,9.42,11,8.28,,10.3,9.87,9.95,10.5,,,
India,,,,25.4,25.3,23.9,,20.3,18.3,17.3,16.7,,,13.6,14.1,15.2,15.7,16.9,,,,,
Ireland,,,16.9,16.4,15.9,16.6,17.2,18.5,20.1,20.6,21.6,22.5,26.8,28.7,27.7,27.6,25.8,23.7,21.6,16.4,15.9,,
Iran,,,,,,9.37,10.9,10.9,11.1,10.7,15.9,18.8,16.7,17.4,18.1,14,13.8,17.9,14.7,14.4,16.9,17.5,
Iceland,,,,18.6,18.3,20.7,21.5,21,22.1,22,22,20.6,20.5,20.9,19.4,19.6,17.8,18.1,19.4,20.4,19.4,,
Israel,,,,18.7,17.8,18.6,18.8,18.3,17.9,17.2,17.3,16,17.1,15.9,15.3,15.3,18.2,17.8,17.7,18.6,18.7,,
