country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,73,71,69,67,66,64,62,60,61,57,56,56,56,55,54
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,78,74,75,76,76,73,65,72,74,71,72,71,70,69,68
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,63,60,57,54,51,49,47,47,46,46,46,46,46,46,46
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,41,39,38,35,33,30,28,27,25,24,23,22,20,19,19
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,819,788,763,741,721,703,685,666,656,644,628,615,593,574,556
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,550,537,520,512,491,473,465,455,442,430,419,412,401,394,387
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,33,33,32,33,33,31,33,33,27,25,23,24,23,24,21
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25,25,23,23,22,20,20,19,19,17,17,17,18,17,18
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,13,13,13,13,14,14,14,15,15,15,16,16,16,18
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,41,39,37,38,37,35,34,32,31,32,32,31,30,30
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,75,72,69,64,59,62,67,70,67,63,64,71,73,69,64
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,123,135,127,119,113,114,114,116,119,117,116,116,115,113,115
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,65,62,59,57,54,51,49,49,48,47,47,46,46,45,45
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,135,128,123,119,113,108,103,99,96,92,88,85,82,80,76
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,85,84,80,74,72,66,62,60,58,58,54,52,48,47,45
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,290,278,266,254,242,230,219,208,200,192,187,184,175,174,169
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,168,177,186,195,201,201,199,191,179,171,161,143,133,128,125
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,491,465,453,437,421,406,387,356,329,305,283,267,254,242,232
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,629,666,680,686,685,680,671,657,632,598,557,528,509,494,480
